timestamp,rmssd,coverage,low_frequency,high_frequency
2022-03-23T08:45:00,45.259,0.931,1407.859,634.727
2022-03-23T08:50:00,51.54,0.807,787.996,863.619
2022-03-23T08:55:00,51.209,0.918,2045.715,900.53
2022-03-23T09:00:00,50.116,1.004,1328.979,765.777
2022-03-23T09:05:00,44.943,0.988,891.14,576.515
2022-03-23T09:10:00,53.213,0.956,1019.47,721.778
2022-03-23T09:15:00,43.828,1.004,729.893,596.818
2022-03-23T09:20:00,46.304,0.861,1622.825,565.761
2022-03-23T09:25:00,44.733,0.97,2525.672,538.837
2022-03-23T09:30:00,36.285,0.931,1450.854,429.075
2022-03-23T09:35:00,16.381,0.963,386.264,94.182
2022-03-23T09:40:00,14.951,1.003,753.003,75.18
2022-03-23T09:45:00,19.299,1.001,306.172,86.065
2022-03-23T09:50:00,32.197,0.913,1757.58,297.047
2022-03-23T09:55:00,37.118,0.965,1422.906,385.063
2022-03-23T10:00:00,39.017,0.901,1445.39,546.457
2022-03-23T10:05:00,33.305,1.001,356.214,288.133
2022-03-23T10:10:00,24.37,1.003,250.442,139.704
2022-03-23T10:15:00,29.262,0.92,376.768,243.874
2022-03-23T10:20:00,33.631,1.002,801.309,214.536
2022-03-23T10:25:00,38.255,0.937,1138.283,269.671
2022-03-23T10:30:00,54.829,1.002,391.539,1094.396
2022-03-23T10:35:00,51.665,1.002,522.118,966.593
2022-03-23T10:40:00,51.796,1.003,525.191,995.218
2022-03-23T10:45:00,45.317,0.901,921.039,565.479
2022-03-23T10:50:00,44.705,0.882,1958.068,329.982
2022-03-23T10:55:00,35.139,1.002,454.018,312.797
2022-03-23T11:00:00,37.732,1.006,647.846,314.68
2022-03-23T11:05:00,38.156,1.0,371.592,389.283
2022-03-23T11:10:00,40.656,1.004,548.191,412.699
2022-03-23T11:15:00,52.034,0.921,3104.433,832.368
2022-03-23T11:20:00,46.082,0.906,2616.414,411.94
2022-03-23T11:25:00,34.212,1.003,1447.954,193.125
2022-03-23T11:30:00,45.325,0.873,2089.546,474.888
2022-03-23T11:35:00,45.991,0.951,1284.31,620.162
2022-03-23T11:40:00,36.233,0.992,819.663,323.879
2022-03-23T11:45:00,44.476,0.881,3978.954,356.968
2022-03-23T11:50:00,36.593,0.908,1324.799,167.351
2022-03-23T11:55:00,38.091,1.004,1773.562,372.956
2022-03-23T12:00:00,25.973,1.001,1338.719,136.545
2022-03-23T12:05:00,27.085,1.004,1172.052,156.452
2022-03-23T12:10:00,33.277,0.932,857.421,309.659
2022-03-23T12:15:00,32.897,0.991,1841.86,209.439
2022-03-23T12:20:00,38.661,0.963,2565.531,461.195
2022-03-23T12:25:00,37.732,0.975,1529.128,312.414
2022-03-23T12:30:00,36.899,0.948,2002.0,285.579
2022-03-23T12:35:00,38.768,1.005,1086.314,366.243
2022-03-23T12:40:00,39.516,0.917,2171.739,326.208
