timestamp,rmssd,coverage,low_frequency,high_frequency
2021-07-30T03:55:00,45.064,0.9,1270.688,522.245
2021-07-30T04:00:00,33.892,0.938,291.894,371.703
2021-07-30T04:05:00,31.504,0.734,374.67,219.231
2021-07-30T04:10:00,34.256,0.962,759.101,404.585
2021-07-30T04:15:00,37.748,0.944,590.671,460.691
2021-07-30T04:20:00,35.919,0.952,1451.749,381.698
2021-07-30T04:25:00,43.704,0.776,625.492,253.813
2021-07-30T04:30:00,40.706,0.851,571.574,351.06
2021-07-30T04:35:00,39.915,0.885,720.772,221.237
2021-07-30T04:40:00,49.782,1.002,909.929,696.421
2021-07-30T04:45:00,49.05,0.99,511.742,471.658
2021-07-30T04:50:00,51.869,0.882,935.762,524.624
2021-07-30T04:55:00,55.31,1.006,4360.848,784.597
2021-07-30T05:00:00,72.936,0.943,3453.34,1543.719
2021-07-30T05:05:00,50.818,0.944,1265.435,697.731
2021-07-30T05:10:00,41.329,1.005,752.233,492.832
2021-07-30T05:15:00,34.808,0.951,378.961,318.54
2021-07-30T05:20:00,41.937,0.987,726.292,492.515
2021-07-30T05:25:00,58.155,0.981,2264.639,859.872
2021-07-30T05:30:00,76.62,0.852,2591.621,1403.13
2021-07-30T05:35:00,51.733,0.997,653.068,664.656
2021-07-30T05:40:00,55.061,1.0,1212.827,665.709
2021-07-30T05:45:00,49.148,1.004,579.806,551.968
2021-07-30T05:50:00,54.816,0.928,488.23,781.767
2021-07-30T06:10:00,65.337,1.004,2140.186,939.256
2021-07-30T06:15:00,78.692,0.974,1490.743,1867.5
2021-07-30T06:20:00,66.759,0.842,3176.788,798.709
2021-07-30T06:25:00,59.305,0.87,1464.001,294.619
2021-07-30T06:30:00,51.41,0.862,3767.281,633.583
2021-07-30T06:35:00,47.663,0.955,2552.488,352.664
2021-07-30T06:40:00,48.728,0.924,1566.323,363.204
2021-07-30T06:45:00,52.125,0.924,612.217,636.411
2021-07-30T06:50:00,74.982,0.988,3195.249,1151.098
2021-07-30T06:55:00,58.658,0.965,3890.027,564.592
2021-07-30T07:00:00,67.769,0.986,1187.438,698.059
2021-07-30T07:05:00,72.949,0.991,905.0,998.086
2021-07-30T07:10:00,65.812,1.005,689.02,859.787
2021-07-30T07:15:00,69.382,1.007,577.541,1142.844
2021-07-30T07:20:00,68.251,0.964,1773.519,876.323
2021-07-30T07:25:00,53.32,0.886,3317.136,401.275
2021-07-30T07:30:00,51.42,1.006,910.012,458.921
2021-07-30T07:35:00,65.927,0.898,6278.123,744.864
2021-07-30T07:40:00,65.328,0.975,2539.223,500.371
2021-07-30T07:45:00,54.858,0.975,1012.937,745.665
2021-07-30T07:50:00,44.282,0.963,750.403,436.155
2021-07-30T07:55:00,48.839,0.941,1349.821,490.859
2021-07-30T08:00:00,53.444,0.99,3121.179,635.447
2021-07-30T08:05:00,47.262,0.947,813.905,484.415
2021-07-30T08:10:00,38.31,0.992,533.259,255.071
2021-07-30T08:15:00,41.236,0.945,425.595,382.008
2021-07-30T08:20:00,50.163,0.945,996.882,425.487
2021-07-30T08:25:00,45.497,1.003,936.747,367.496
2021-07-30T08:30:00,52.148,0.962,1238.758,503.568
2021-07-30T08:35:00,57.094,1.002,1044.22,796.388
2021-07-30T08:40:00,54.049,0.986,1845.305,781.106
2021-07-30T08:45:00,58.269,0.891,1012.488,570.665
2021-07-30T08:50:00,51.491,1.003,1329.466,501.525
2021-07-30T08:55:00,43.521,0.938,395.763,417.549
2021-07-30T09:00:00,53.257,0.935,925.451,606.996
2021-07-30T09:05:00,41.358,1.007,1519.444,283.713
2021-07-30T09:10:00,38.728,1.003,519.466,284.014
2021-07-30T09:15:00,42.388,0.983,335.472,402.689
2021-07-30T09:20:00,41.946,1.003,500.598,326.764
2021-07-30T09:25:00,44.61,0.96,3991.105,316.873
2021-07-30T09:30:00,56.858,0.921,1410.377,627.205
2021-07-30T09:35:00,52.26,0.991,738.225,549.742
2021-07-30T09:40:00,51.846,0.982,3676.101,620.18
2021-07-30T09:45:00,49.522,0.931,5292.571,545.154
2021-07-30T09:50:00,43.425,0.941,428.444,320.654
2021-07-30T09:55:00,53.937,0.976,1907.424,616.079
2021-07-30T10:00:00,55.077,0.909,1835.952,557.386
2021-07-30T10:05:00,54.92,0.985,1687.94,642.823
