timestamp,rmssd,coverage,low_frequency,high_frequency
2021-09-03T03:45:00,37.668,0.912,1125.4,374.301
2021-09-03T03:50:00,33.469,0.732,767.931,234.544
2021-09-03T03:55:00,40.337,0.985,2157.741,430.578
2021-09-03T04:00:00,42.112,0.952,1434.987,406.34
2021-09-03T04:05:00,42.61,0.978,1717.333,618.666
2021-09-03T04:10:00,40.482,0.996,1579.936,499.823
2021-09-03T04:15:00,44.302,0.883,3047.798,363.231
2021-09-03T04:20:00,42.204,0.891,2906.751,377.684
2021-09-03T04:25:00,44.996,0.931,4247.201,514.371
2021-09-03T04:30:00,42.313,0.911,7139.133,301.587
2021-09-03T04:35:00,33.578,0.955,1347.108,203.281
2021-09-03T04:40:00,31.275,1.0,1620.26,206.056
2021-09-03T04:45:00,36.573,0.942,1191.277,187.817
2021-09-03T04:50:00,37.335,1.001,963.57,222.932
2021-09-03T04:55:00,41.155,0.973,576.164,294.748
2021-09-03T05:00:00,43.012,1.004,675.18,323.046
2021-09-03T05:05:00,43.015,0.916,6229.639,393.179
2021-09-03T05:10:00,53.164,0.999,602.389,769.356
2021-09-03T05:15:00,51.447,0.991,1736.206,734.688
2021-09-03T05:20:00,60.74,0.99,909.123,994.653
2021-09-03T05:25:00,57.352,1.0,380.561,1025.347
2021-09-03T05:30:00,58.503,0.919,429.452,1024.072
2021-09-03T05:35:00,45.992,0.731,1204.869,247.435
2021-09-03T05:40:00,57.979,0.878,4420.215,930.365
2021-09-03T05:45:00,50.413,0.928,4157.295,602.495
2021-09-03T05:50:00,56.483,0.925,4675.097,579.827
2021-09-03T05:55:00,45.335,0.999,1283.784,457.718
2021-09-03T06:00:00,73.136,0.945,3059.994,1282.993
2021-09-03T06:05:00,69.82,0.997,1829.776,1242.817
2021-09-03T06:10:00,50.027,0.946,2391.664,548.992
2021-09-03T06:25:00,51.915,0.943,1708.789,632.418
2021-09-03T06:30:00,48.908,1.0,1540.488,473.497
2021-09-03T06:35:00,44.344,0.99,1332.611,365.621
2021-09-03T06:40:00,44.74,0.982,1663.753,339.013
2021-09-03T06:45:00,45.368,1.004,1227.042,378.346
2021-09-03T06:50:00,53.144,1.003,842.193,533.762
2021-09-03T06:55:00,49.751,0.95,870.968,411.607
2021-09-03T07:00:00,67.356,1.0,660.431,868.91
2021-09-03T07:05:00,50.957,0.829,6385.221,417.667
2021-09-03T07:10:00,59.866,0.991,491.819,750.177
2021-09-03T07:15:00,57.94,1.001,370.337,702.422
2021-09-03T07:20:00,59.676,0.918,2540.555,590.796
2021-09-03T07:25:00,74.138,0.888,3174.057,1297.067
2021-09-03T07:30:00,78.629,0.915,3016.88,857.812
