timestamp,rmssd,coverage,low_frequency,high_frequency
2021-03-13T04:00:00,15.283,0.986,237.821,106.68
2021-03-13T04:05:00,23.068,0.999,1046.619,243.86
2021-03-13T04:10:00,21.979,0.986,1342.769,191.076
2021-03-13T04:15:00,19.145,1.004,581.298,155.149
2021-03-13T04:20:00,13.252,0.997,259.014,108.443
2021-03-13T04:25:00,10.435,0.966,165.387,41.729
2021-03-13T04:30:00,12.076,0.918,301.493,55.374
2021-03-13T04:35:00,16.182,0.997,268.294,83.005
2021-03-13T04:40:00,26.847,0.857,479.603,211.755
2021-03-13T04:45:00,30.512,0.984,620.383,295.88
2021-03-13T04:50:00,33.077,0.924,517.947,250.1
2021-03-13T04:55:00,31.719,0.999,576.794,236.971
2021-03-13T05:00:00,31.252,1.005,989.334,227.053
2021-03-13T05:05:00,31.124,1.003,838.123,321.231
2021-03-13T05:10:00,43.225,0.912,1980.141,625.424
2021-03-13T05:15:00,55.33,0.98,1254.335,1169.9
2021-03-13T05:20:00,36.569,0.934,1040.24,283.725
2021-03-13T05:25:00,39.982,1.0,1237.066,462.107
2021-03-13T05:30:00,39.444,0.998,495.067,572.123
2021-03-13T05:35:00,42.783,0.977,2911.352,485.364
2021-03-13T05:40:00,39.407,0.896,1907.289,285.313
2021-03-13T05:45:00,28.094,1.004,883.569,115.885
2021-03-13T05:50:00,24.731,0.993,990.584,104.053
2021-03-13T05:55:00,26.154,1.0,577.533,140.893
2021-03-13T06:00:00,36.633,0.932,1511.021,552.996
2021-03-13T06:05:00,47.424,0.844,3185.666,747.519
2021-03-13T06:10:00,56.641,0.953,1237.619,627.354
2021-03-13T06:15:00,53.58,0.98,607.62,587.418
2021-03-13T06:20:00,40.608,0.895,1844.759,392.496
2021-03-13T06:25:00,36.26,1.001,878.877,280.138
2021-03-13T06:30:00,38.523,0.973,732.588,418.839
2021-03-13T06:35:00,37.613,0.935,3906.537,326.753
2021-03-13T06:40:00,38.535,1.0,2512.083,438.189
2021-03-13T06:45:00,20.049,0.98,1519.226,116.861
2021-03-13T06:50:00,21.043,0.952,569.18,97.6
2021-03-13T06:55:00,26.529,1.0,1746.451,117.743
2021-03-13T07:00:00,24.507,1.001,1472.9,159.58
2021-03-13T07:05:00,31.891,0.939,2680.544,278.807
2021-03-13T07:10:00,25.371,0.827,1580.911,133.858
2021-03-13T07:15:00,29.326,0.719,1065.774,233.205
2021-03-13T07:20:00,39.941,0.905,2328.757,417.991
2021-03-13T07:25:00,45.805,0.892,4582.733,681.054
2021-03-13T07:30:00,49.224,0.95,3692.031,718.01
2021-03-13T07:35:00,51.663,0.833,2223.621,568.699
2021-03-13T07:40:00,46.487,0.989,4195.212,806.289
