timestamp,rmssd,coverage,low_frequency,high_frequency
2021-08-07T03:20:00,35.133,1.003,1137.113,452.825
2021-08-07T03:25:00,41.309,0.977,1373.59,629.783
2021-08-07T03:30:00,41.979,1.004,1875.391,556.822
2021-08-07T03:35:00,42.064,1.001,997.126,518.319
2021-08-07T03:40:00,39.636,0.932,2995.028,485.665
2021-08-07T03:45:00,44.563,0.945,1244.248,494.872
2021-08-07T03:50:00,46.116,0.891,2577.737,709.522
2021-08-07T03:55:00,35.553,0.967,1040.484,469.67
2021-08-07T04:00:00,35.894,0.922,558.485,335.287
2021-08-07T04:05:00,42.543,1.005,1037.516,485.686
2021-08-07T04:10:00,35.089,0.966,521.15,299.844
2021-08-07T04:15:00,39.194,1.003,1741.686,443.775
2021-08-07T04:20:00,43.646,0.971,2415.41,504.971
2021-08-07T04:25:00,37.806,0.959,1920.241,311.674
2021-08-07T04:30:00,46.633,0.989,1713.719,583.832
2021-08-07T04:35:00,48.423,1.005,1179.197,586.757
2021-08-07T04:40:00,47.097,1.002,692.793,554.63
2021-08-07T04:45:00,43.693,0.921,1830.945,361.268
2021-08-07T04:50:00,40.808,1.003,1294.641,336.725
2021-08-07T04:55:00,38.655,1.002,599.921,290.84
2021-08-07T05:00:00,40.606,0.931,1807.251,338.168
2021-08-07T05:05:00,44.388,0.845,918.161,435.924
2021-08-07T05:10:00,49.468,1.003,1879.257,592.195
2021-08-07T05:15:00,50.889,0.949,1383.207,684.105
2021-08-07T05:20:00,55.727,1.003,1322.314,721.876
2021-08-07T05:25:00,53.714,1.004,849.106,586.598
2021-08-07T05:30:00,48.286,0.939,4262.133,487.847
2021-08-07T05:35:00,52.512,1.004,1142.98,938.192
2021-08-07T05:40:00,42.327,0.918,1366.848,445.834
2021-08-07T05:45:00,36.251,1.002,447.323,431.836
2021-08-07T05:50:00,37.322,1.003,1908.677,339.829
2021-08-07T05:55:00,40.615,1.005,1546.383,449.029
2021-08-07T06:00:00,45.359,1.003,1639.155,620.155
2021-08-07T06:05:00,42.633,1.001,1640.219,461.491
2021-08-07T06:10:00,57.305,0.935,2886.882,959.603
2021-08-07T06:15:00,52.338,1.002,1106.9,546.388
2021-08-07T06:20:00,62.764,0.826,6895.058,851.951
2021-08-07T06:25:00,60.9,1.005,3787.513,887.742
2021-08-07T06:30:00,51.988,0.963,2077.377,521.417
2021-08-07T06:35:00,65.0,1.004,1526.69,1084.913
2021-08-07T06:40:00,52.902,0.912,3120.747,601.501
2021-08-07T06:45:00,56.303,1.001,1023.33,797.371
2021-08-07T06:50:00,56.863,1.003,1395.838,767.779
2021-08-07T06:55:00,53.705,1.006,780.199,721.902
2021-08-07T07:00:00,53.676,1.003,1305.754,738.149
2021-08-07T07:05:00,48.146,0.94,2637.362,701.387
2021-08-07T07:10:00,62.174,0.912,3381.217,1057.143
2021-08-07T07:15:00,34.089,0.991,1192.605,287.4
2021-08-07T07:20:00,44.228,1.004,2101.21,602.79
2021-08-07T07:25:00,47.108,1.003,1375.265,646.594
2021-08-07T07:30:00,46.328,0.995,881.273,659.116
2021-08-07T07:35:00,38.218,1.002,2178.404,322.698
2021-08-07T07:40:00,41.139,1.003,1772.966,493.078
2021-08-07T07:45:00,46.651,1.006,2183.655,659.884
2021-08-07T07:50:00,51.692,0.955,3033.88,530.333
2021-08-07T07:55:00,50.282,1.001,622.251,564.16
2021-08-07T08:00:00,52.105,1.003,990.478,726.101
2021-08-07T08:05:00,52.118,0.983,1437.028,519.809
2021-08-07T08:10:00,56.314,0.933,603.014,805.187
2021-08-07T08:15:00,53.93,0.941,2013.742,711.443
2021-08-07T08:20:00,49.642,0.992,1656.95,515.759
2021-08-07T08:25:00,52.66,0.875,3360.381,418.564
2021-08-07T08:30:00,70.337,0.735,8512.03,840.267
2021-08-07T08:35:00,54.474,0.845,1675.954,1078.209
