timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-04-01T06:44:30,13.4,0.8,11.719,13.4,1.0,8.644,,,,15.4,1.0,3.961
2021-04-02T06:57:30,13.0,0.8,9.177,13.0,0.8,9.177,,,,13.6,2.1,5.831
2021-04-04T00:59:00,0.0,0.0,0.0,-1.0,0.0,0.0,,,,-1.0,0.0,0.0
2021-04-04T09:31:00,13.8,1.4,6.47,13.4,1.0,10.467,,,,12.8,0.8,6.204
2021-04-05T07:44:30,13.2,0.8,4.964,13.2,1.3,19.473,,,,13.2,1.8,3.325
2021-04-06T06:41:30,13.6,1.1,7.64,13.6,1.1,7.64,,,,14.2,2.0,6.128
2021-04-07T06:52:30,13.2,1.4,12.006,13.2,1.4,12.006,,,,13.6,2.0,6.888
2021-04-08T10:00:00,12.2,0.7,6.34,13.0,1.3,11.263,,,,-1.0,0.0,0.0
2021-04-09T08:13:30,14.0,0.7,8.415,12.8,1.2,9.292,,,,13.2,1.5,6.135
2021-04-10T10:33:00,13.8,0.7,7.875,13.8,1.2,6.942,,,,14.0,1.6,6.611
2021-04-11T08:07:00,13.6,1.1,10.378,13.6,1.1,10.378,,,,14.4,1.2,9.381
2021-04-12T10:58:00,13.0,1.1,7.418,13.2,0.9,14.877,,,,13.2,1.7,6.181
2021-04-13T08:47:30,13.2,0.6,5.653,13.2,1.2,9.753,,,,13.4,0.8,6.302
2021-04-14T09:18:00,14.0,0.6,6.031,12.6,1.5,11.844,,,,14.4,0.4,2.722
2021-04-14T11:16:30,13.8,0.9,7.239,12.6,1.4,14.293,,,,14.2,0.5,3.24
2021-04-15T10:30:00,14.0,0.7,8.321,14.0,1.0,11.035,,,,14.6,1.2,5.939
2021-04-16T10:18:30,14.2,0.6,7.004,13.4,1.2,8.744,,,,-1.0,0.0,1.975
2021-04-17T11:51:30,13.2,1.0,9.882,13.0,1.7,8.968,,,,14.0,2.0,6.669
2021-04-18T12:25:30,13.4,1.4,10.652,13.0,1.1,14.443,,,,14.8,2.2,9.569
2021-04-19T08:49:00,13.8,0.8,7.754,13.6,1.2,8.933,,,,14.8,0.8,4.693
2021-04-21T07:13:30,12.2,1.2,8.987,12.2,1.2,8.987,,,,11.8,0.5,2.887
2021-04-22T07:44:30,13.4,1.2,10.207,13.4,1.2,10.207,,,,17.2,0.6,3.369
2021-04-22T13:07:00,13.0,0.5,6.697,13.2,0.6,7.183,,,,15.2,0.7,3.002
2021-04-23T07:42:30,13.4,1.3,11.844,13.4,1.3,11.844,,,,13.6,2.2,4.959
2021-04-24T11:54:00,13.4,0.7,7.937,13.0,1.0,10.822,,,,13.6,1.9,7.362
2021-04-25T09:25:00,0.0,0.0,0.0,-1.0,0.0,0.0,,,,-1.0,0.0,0.0
2021-04-27T10:03:30,13.0,0.7,10.422,13.6,1.6,8.808,,,,14.4,1.6,4.443
2021-04-28T06:39:00,13.8,0.7,7.131,13.0,1.1,9.033,,,,13.0,1.6,3.371
2021-04-28T11:57:30,12.4,0.7,7.882,12.8,1.0,12.13,,,,14.0,2.5,4.298
2021-04-29T10:04:30,14.0,0.7,4.928,13.4,0.9,10.853,,,,12.4,1.2,2.82
2021-04-30T07:02:30,13.6,0.6,5.42,13.4,1.1,7.262,,,,13.6,1.4,4.036
2021-04-30T10:53:00,13.8,0.6,6.769,13.0,1.3,10.877,,,,15.4,2.8,4.026
