timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2020-11-14T12:24:30,15.0,1.7,12.448,12.8,1.2,11.032,,,,13.8,1.9,7.268
2020-11-15T08:53:30,14.2,1.1,8.271,13.8,0.7,7.334,,,,13.8,1.7,5.736
2020-11-16T09:31:00,15.6,1.5,7.224,13.8,2.3,8.184,,,,-1.0,0.0,2.363
2020-11-17T10:39:30,15.8,1.0,4.225,13.8,1.6,7.988,,,,13.8,1.9,5.791
2020-11-18T12:29:30,14.4,0.9,5.72,14.0,1.2,9.748,,,,15.2,2.8,5.329
2020-11-19T09:03:30,14.4,0.9,9.677,13.8,1.2,17.132,,,,13.8,1.2,4.64
2020-11-21T10:19:00,13.0,0.5,6.541,14.2,1.7,11.185,,,,13.4,1.4,6.294
2020-11-23T06:55:30,16.0,0.9,4.702,13.2,1.1,10.051,,,,12.6,1.5,4.697
2020-11-24T07:07:30,14.6,0.7,5.898,14.4,1.3,8.8,,,,13.6,1.3,7.879
2020-11-25T06:50:30,15.2,0.6,5.692,13.0,0.7,4.37,,,,16.0,0.8,5.118
2020-11-25T13:31:30,13.8,0.6,5.348,14.4,1.2,12.757,,,,15.0,2.2,6.324
2020-11-26T07:04:00,13.8,1.1,10.274,13.8,1.1,10.274,,,,16.0,0.9,4.054
2020-11-27T06:51:00,15.4,1.1,4.769,14.8,1.6,9.583,,,,-1.0,0.0,2.094
2020-11-27T11:31:00,12.8,0.9,5.923,13.8,1.2,12.088,,,,14.0,0.6,2.751
2020-11-28T12:28:00,14.2,1.0,9.331,13.8,1.6,9.806,,,,14.4,2.6,8.634
2020-11-29T07:29:00,14.6,0.7,7.9,13.4,0.7,9.992,,,,14.0,1.3,5.449
2020-11-30T10:31:30,15.2,1.3,6.658,14.0,1.5,9.173,,,,14.2,1.7,3.203
