timestamp,rmssd,coverage,low_frequency,high_frequency
2020-11-24T02:15:00,43.857,0.869,636.816,348.86
2020-11-24T02:20:00,33.906,0.966,183.834,295.425
2020-11-24T02:25:00,34.653,0.945,258.219,343.434
2020-11-24T02:30:00,31.185,0.798,592.513,214.788
2020-11-24T02:35:00,38.074,0.988,436.316,513.431
2020-11-24T02:40:00,43.773,0.994,1652.484,498.648
2020-11-24T02:45:00,47.348,0.996,1255.877,488.305
2020-11-24T02:50:00,48.905,0.997,1066.128,614.741
2020-11-24T02:55:00,53.561,1.004,1393.276,845.089
2020-11-24T03:00:00,56.279,1.003,1519.004,661.879
2020-11-24T03:05:00,58.434,0.964,1022.956,889.845
2020-11-24T03:10:00,47.858,0.949,2295.481,414.298
2020-11-24T03:15:00,36.123,1.003,625.723,308.743
2020-11-24T03:20:00,31.023,1.003,658.151,212.019
2020-11-24T03:25:00,30.206,1.003,769.668,157.385
2020-11-24T03:30:00,32.374,0.96,1098.44,143.445
2020-11-24T03:35:00,38.87,0.974,2416.765,275.761
2020-11-24T03:40:00,37.446,0.984,1050.684,296.39
2020-11-24T03:45:00,37.007,1.004,888.991,250.159
2020-11-24T03:50:00,39.052,1.004,394.008,357.237
2020-11-24T03:55:00,37.168,1.001,653.228,251.027
2020-11-24T04:00:00,39.831,1.005,628.177,344.244
2020-11-24T04:05:00,40.688,1.003,279.461,329.135
2020-11-24T04:10:00,45.995,1.004,471.83,486.868
2020-11-24T04:15:00,43.473,0.962,565.283,575.343
2020-11-24T04:20:00,44.667,0.948,2512.235,284.495
2020-11-24T04:25:00,40.989,1.003,816.535,361.508
2020-11-24T04:30:00,48.618,0.943,2497.03,389.079
2020-11-24T04:35:00,47.66,1.003,1772.469,514.462
2020-11-24T04:40:00,57.23,0.95,934.071,1091.895
2020-11-24T04:45:00,49.842,0.985,1431.169,661.111
2020-11-24T04:50:00,40.399,1.004,514.688,395.561
2020-11-24T04:55:00,40.704,1.003,1730.982,488.086
2020-11-24T05:00:00,42.518,1.002,1585.162,446.204
2020-11-24T05:05:00,42.886,0.989,2005.972,418.901
2020-11-24T05:10:00,46.225,1.002,2191.595,577.552
2020-11-24T05:15:00,41.457,0.979,1542.681,370.148
2020-11-24T05:20:00,44.892,0.989,1247.583,460.26
2020-11-24T05:25:00,49.167,1.005,1137.571,607.918
2020-11-24T05:30:00,46.035,0.966,5817.986,729.03
2020-11-24T05:35:00,35.588,1.006,1115.099,292.05
2020-11-24T05:40:00,37.948,1.001,558.323,240.339
2020-11-24T05:45:00,39.53,1.003,643.667,309.948
2020-11-24T05:50:00,43.585,0.924,3141.395,488.555
2020-11-24T05:55:00,44.643,0.983,3446.365,350.122
2020-11-24T06:00:00,42.754,0.971,1780.188,345.42
2020-11-24T06:05:00,44.553,0.959,1617.446,697.699
2020-11-24T06:10:00,44.789,1.003,1998.777,594.18
2020-11-24T06:15:00,42.532,0.95,1411.669,363.207
2020-11-24T06:20:00,38.515,0.975,1304.342,384.576
2020-11-24T06:25:00,38.134,1.004,1276.563,317.622
2020-11-24T06:30:00,41.724,0.999,1120.977,240.369
2020-11-24T06:35:00,40.204,0.988,1488.833,334.871
2020-11-24T06:40:00,42.94,0.932,2363.912,523.668
2020-11-24T06:45:00,42.919,0.999,440.429,550.904
2020-11-24T06:50:00,58.166,0.858,3350.621,353.043
2020-11-24T06:55:00,36.729,0.988,702.993,258.713
2020-11-24T07:00:00,56.73,0.906,3173.803,570.098
