timestamp,rmssd,coverage,low_frequency,high_frequency
2021-01-02T03:10:00,38.829,0.792,518.639,297.97
2021-01-02T03:15:00,42.316,1.001,697.039,446.805
2021-01-02T03:20:00,54.732,0.993,958.243,736.586
2021-01-02T03:25:00,41.297,0.955,1113.36,390.907
2021-01-02T03:30:00,35.228,0.989,785.637,281.898
2021-01-02T03:35:00,39.998,0.889,1291.173,472.724
2021-01-02T03:40:00,34.953,0.961,774.007,216.017
2021-01-02T03:45:00,42.563,0.903,637.639,263.579
2021-01-02T03:50:00,40.519,0.858,2171.503,253.956
2021-01-02T03:55:00,34.75,0.993,1039.529,217.135
2021-01-02T04:00:00,44.892,0.858,2021.543,280.698
2021-01-02T04:05:00,44.279,0.981,1895.288,535.378
2021-01-02T04:10:00,51.237,1.005,1367.04,688.664
2021-01-02T04:15:00,51.638,0.999,1092.701,921.029
2021-01-02T04:20:00,50.273,0.98,1049.34,737.897
2021-01-02T04:25:00,36.986,0.933,1303.243,288.777
2021-01-02T04:30:00,38.016,1.0,770.579,316.638
2021-01-02T04:35:00,42.578,1.004,797.13,392.269
2021-01-02T04:40:00,40.414,1.002,419.971,387.118
2021-01-02T04:45:00,44.389,0.773,4525.817,213.89
2021-01-02T04:50:00,41.203,0.996,1359.123,357.899
2021-01-02T04:55:00,36.586,1.001,1876.413,304.674
2021-01-02T05:00:00,28.444,0.961,475.484,142.214
2021-01-02T05:05:00,35.374,0.999,765.225,213.951
2021-01-02T05:10:00,34.571,0.98,646.907,207.357
2021-01-02T05:15:00,36.909,0.958,976.414,342.435
2021-01-02T05:20:00,36.111,0.931,2425.54,252.585
2021-01-02T05:25:00,42.587,0.931,920.616,299.14
2021-01-02T05:30:00,39.434,1.001,1080.963,412.56
2021-01-02T05:35:00,39.53,0.991,505.189,429.205
2021-01-02T05:40:00,39.366,0.926,3726.203,322.695
2021-01-02T05:45:00,45.42,0.999,2635.355,393.545
2021-01-02T06:20:00,38.728,0.949,892.823,272.708
2021-01-02T06:25:00,34.808,0.913,335.084,206.229
2021-01-02T06:30:00,49.325,0.958,733.874,737.342
2021-01-02T06:35:00,44.136,0.924,415.828,352.364
2021-01-02T06:40:00,46.832,0.98,2308.33,539.107
2021-01-02T06:45:00,48.621,0.931,1323.283,600.074
2021-01-02T06:50:00,42.743,0.969,2426.91,538.213
2021-01-02T06:55:00,39.703,0.963,2464.861,286.454
2021-01-02T07:05:00,34.779,0.942,2819.076,232.434
2021-01-02T07:10:00,30.236,0.989,900.803,184.684
2021-01-02T07:15:00,21.148,1.002,414.652,91.353
2021-01-02T07:20:00,21.649,1.002,658.535,60.45
2021-01-02T07:25:00,24.897,0.987,883.297,102.981
2021-01-02T07:30:00,35.039,0.968,1561.983,322.021
2021-01-02T07:35:00,35.653,0.964,1242.141,211.6
2021-01-02T07:40:00,42.427,0.882,1271.125,463.951
2021-01-02T07:45:00,48.568,1.002,594.081,831.463
2021-01-02T07:50:00,52.759,1.004,490.441,791.99
2021-01-02T07:55:00,55.46,1.004,892.336,1050.951
2021-01-02T08:00:00,57.452,0.982,672.846,837.267
2021-01-02T08:05:00,56.127,1.005,485.894,932.671
2021-01-02T08:10:00,53.804,0.833,3425.279,676.739
2021-01-02T08:15:00,37.532,0.984,1472.868,268.559
2021-01-02T08:20:00,34.282,0.949,1481.259,249.369
2021-01-02T08:25:00,36.249,0.879,1227.091,149.133
2021-01-02T08:30:00,43.898,0.949,4508.041,210.863
2021-01-02T08:35:00,38.851,0.983,1131.396,339.406
2021-01-02T08:40:00,29.451,0.971,1280.144,207.984
2021-01-02T08:45:00,32.897,1.006,1182.209,296.004
2021-01-02T09:00:00,49.08,0.804,1436.205,491.539
2021-01-02T09:05:00,47.979,1.004,735.938,396.696
2021-01-02T09:10:00,44.354,0.992,1158.832,392.087
2021-01-02T09:15:00,40.634,0.967,831.768,318.632
2021-01-02T09:20:00,42.997,0.903,1287.096,336.414
2021-01-02T09:25:00,44.154,0.817,2418.298,221.384
