timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-10-03T09:21:00,13.6,0.9,10.196,13.0,1.1,10.349,,,,13.0,0.9,6.68
2021-10-04T07:07:00,13.6,0.8,11.795,13.2,0.9,8.842,,,,14.4,1.2,5.211
2021-10-05T07:02:30,13.8,0.8,5.015,13.6,1.9,12.991,,,,13.8,1.0,4.24
2021-10-06T07:08:00,13.0,0.5,9.251,13.0,1.1,11.636,,,,12.8,0.8,6.381
2021-10-09T07:13:30,12.4,1.0,7.728,12.4,1.2,12.38,,,,14.0,2.2,5.61
2021-10-10T09:13:00,14.4,1.2,9.729,13.0,1.5,11.907,,,,13.0,1.8,5.465
2021-10-11T09:16:30,14.6,0.9,6.905,14.0,1.0,10.851,,,,14.2,0.7,4.373
2021-10-11T10:59:30,14.6,0.9,6.905,14.2,0.8,11.564,,,,14.8,2.1,6.767
2021-10-12T01:09:30,0.0,0.0,0.0,-1.0,0.0,0.0,,,,-1.0,0.0,0.0
2021-10-12T11:51:30,13.6,1.2,13.168,13.6,1.2,13.168,,,,14.6,0.5,4.375
2021-10-13T07:01:30,13.2,1.1,5.949,13.6,1.3,8.195,,,,13.4,2.2,6.839
2021-10-14T07:09:00,13.6,1.6,8.412,13.6,1.6,8.412,,,,13.6,1.9,5.546
2021-10-17T10:03:00,14.6,1.0,9.826,13.8,1.5,8.532,,,,13.8,2.1,4.576
2021-10-18T06:50:30,14.2,1.1,7.766,14.0,1.1,10.043,,,,16.0,0.5,3.69
2021-10-19T06:56:30,13.8,0.7,5.631,13.4,1.6,10.053,,,,13.6,1.9,5.571
2021-10-21T07:11:00,14.0,0.9,7.974,13.4,0.6,6.732,,,,14.0,1.8,3.31
2021-10-24T08:12:30,13.8,1.0,10.251,13.6,1.0,9.334,,,,13.2,1.6,6.963
2021-10-27T07:16:00,14.8,0.6,6.458,13.4,1.8,12.4,,,,13.8,1.7,6.51
2021-10-28T06:59:00,14.6,0.9,5.342,13.6,1.1,7.07,,,,14.0,1.8,6.213
