timestamp,rmssd,coverage,low_frequency,high_frequency
2021-08-29T03:10:00,48.074,0.792,1853.996,290.058
2021-08-29T03:15:00,46.346,0.781,1239.301,412.422
2021-08-29T03:25:00,38.543,1.003,883.354,396.677
2021-08-29T03:30:00,46.322,1.005,910.015,674.809
2021-08-29T03:35:00,53.661,1.002,487.346,911.35
2021-08-29T03:40:00,57.078,1.004,735.468,1035.752
2021-08-29T03:45:00,51.777,1.004,313.46,612.612
2021-08-29T03:50:00,59.292,0.946,648.795,1011.639
2021-08-29T03:55:00,55.285,0.93,840.657,712.903
2021-08-29T04:00:00,73.885,1.003,1074.808,1397.759
2021-08-29T04:05:00,74.531,0.997,457.377,1533.997
2021-08-29T04:10:00,74.384,1.003,1152.861,1693.901
2021-08-29T04:15:00,46.626,0.945,1789.215,474.376
2021-08-29T04:20:00,43.714,0.986,681.642,461.606
2021-08-29T04:25:00,40.429,0.973,1359.271,467.665
2021-08-29T04:30:00,50.694,1.004,2374.893,559.999
2021-08-29T04:35:00,49.791,0.953,2217.544,395.642
2021-08-29T04:40:00,52.008,0.998,554.18,597.656
2021-08-29T04:45:00,50.453,0.865,735.642,593.389
2021-08-29T04:50:00,43.618,0.998,453.578,500.995
2021-08-29T04:55:00,47.945,0.968,658.65,498.02
2021-08-29T05:00:00,42.274,1.001,1326.744,313.268
2021-08-29T05:05:00,47.032,1.004,476.514,450.576
2021-08-29T05:10:00,61.949,0.876,1209.709,737.313
2021-08-29T05:15:00,59.11,0.932,9514.481,609.044
2021-08-29T05:20:00,61.577,0.956,877.587,758.846
2021-08-29T05:25:00,57.406,0.974,3073.869,573.232
2021-08-29T05:30:00,61.592,1.005,599.15,652.13
2021-08-29T05:35:00,54.816,1.002,507.921,467.545
2021-08-29T05:40:00,55.391,0.969,1108.333,572.701
2021-08-29T06:05:00,42.42,1.004,1507.488,420.661
2021-08-29T06:10:00,48.941,0.765,2594.093,537.369
2021-08-29T06:20:00,65.984,1.003,700.89,1135.349
2021-08-29T06:25:00,65.899,0.831,458.745,1130.749
2021-08-29T06:35:00,50.54,0.715,2101.411,368.035
2021-08-29T06:40:00,54.882,0.928,5114.96,460.934
2021-08-29T06:45:00,59.533,1.003,658.063,885.516
2021-08-29T06:50:00,60.789,1.006,618.6,867.875
2021-08-29T06:55:00,56.291,1.003,739.025,674.163
2021-08-29T07:00:00,64.158,1.003,442.141,1160.209
2021-08-29T07:10:00,104.805,0.909,3131.506,2245.204
2021-08-29T07:15:00,57.668,0.951,1128.372,653.552
2021-08-29T07:20:00,39.388,0.907,2033.019,360.08
2021-08-29T07:25:00,55.985,0.883,2680.754,745.074
2021-08-29T07:30:00,46.604,1.006,1619.498,431.067
2021-08-29T07:35:00,68.386,0.918,1643.23,1216.404
2021-08-29T07:40:00,67.083,0.933,4834.764,1137.685
2021-08-29T07:45:00,60.427,0.992,1244.242,865.372
2021-08-29T07:50:00,64.337,0.936,2479.095,912.516
2021-08-29T07:55:00,54.416,1.005,880.935,608.088
2021-08-29T08:00:00,54.293,0.996,634.75,605.382
2021-08-29T08:05:00,59.602,1.003,544.512,674.546
2021-08-29T08:10:00,50.291,0.907,4618.05,529.348
2021-08-29T08:15:00,48.975,1.003,505.821,543.372
2021-08-29T08:20:00,48.678,1.003,524.887,469.43
2021-08-29T08:25:00,48.861,1.003,507.736,398.789
2021-08-29T08:30:00,52.398,0.794,877.435,590.243
2021-08-29T08:35:00,67.733,0.917,4384.068,767.814
