timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-01-01T12:54:00,12.4,0.7,8.996,14.2,2.2,13.041,,,,13.8,1.9,5.62
2021-01-02T09:30:30,13.6,0.6,10.985,14.0,1.0,13.04,,,,15.4,2.9,7.572
2021-01-03T07:22:00,14.6,0.9,11.222,15.4,1.7,7.049,,,,16.0,1.9,4.688
2021-01-03T10:10:30,14.6,0.9,9.953,15.2,2.0,14.967,,,,15.8,2.0,6.907
2021-01-04T08:10:00,15.2,1.0,10.127,14.6,1.4,9.164,,,,14.2,1.1,6.421
2021-01-05T07:59:30,13.8,0.9,9.249,12.4,1.2,8.943,,,,12.6,1.4,6.942
2021-01-06T09:25:30,14.6,1.9,14.767,14.6,1.9,14.767,,,,-1.0,0.0,2.19
2021-01-06T12:15:30,14.4,1.9,13.548,14.4,1.9,13.548,,,,13.4,1.4,3.091
2021-01-07T10:58:30,14.8,1.4,8.12,14.2,2.0,14.211,,,,14.2,2.1,5.058
2021-01-08T07:30:30,15.0,0.8,8.733,14.8,1.4,11.4,,,,14.6,1.0,4.953
2021-01-09T08:24:00,14.6,0.8,8.497,14.2,1.4,11.442,,,,15.0,1.3,5.798
2021-01-10T07:45:00,14.8,0.8,9.048,14.4,1.4,8.539,,,,15.8,2.1,6.306
2021-01-10T11:09:00,14.6,0.9,9.435,13.8,1.7,13.837,,,,13.4,1.3,8.761
2021-01-11T08:13:00,14.2,0.8,8.597,13.6,1.1,13.5,,,,13.4,1.6,8.701
2021-01-11T10:26:00,14.2,0.8,9.22,13.2,1.4,9.824,,,,13.2,1.8,8.774
2021-01-12T08:17:30,14.4,0.7,5.71,14.0,1.1,8.482,,,,16.6,2.2,5.591
2021-01-13T09:37:30,13.8,1.0,8.534,14.0,1.3,10.494,,,,14.4,1.9,6.434
2021-01-13T12:40:30,13.4,1.2,8.775,13.8,1.0,16.869,,,,14.8,2.2,5.895
2021-01-14T07:43:30,13.0,0.8,8.897,13.8,2.2,13.083,,,,-1.0,0.0,2.298
2021-01-15T07:37:30,15.4,1.1,5.752,14.0,1.0,7.516,,,,13.8,0.6,5.821
2021-01-16T10:05:30,14.6,0.9,9.22,13.8,1.3,13.794,,,,14.6,2.5,5.762
2021-01-17T09:13:00,15.2,1.2,11.832,13.0,0.8,9.315,,,,14.0,2.4,8.927
2021-01-18T09:37:30,15.0,1.3,5.386,13.0,1.6,10.348,,,,14.8,3.0,4.925
2021-01-19T09:27:00,14.2,0.7,8.101,14.0,2.1,11.487,,,,16.8,1.2,5.583
2021-01-20T08:56:00,13.2,0.7,10.066,12.8,1.0,11.598,,,,14.2,3.3,7.975
2021-01-21T08:40:30,13.6,1.7,10.592,13.6,1.7,10.592,,,,13.4,1.3,7.195
2021-01-22T06:31:00,13.4,0.7,4.75,13.6,2.0,7.482,,,,13.8,1.3,4.901
2021-01-22T09:56:30,12.6,0.5,6.492,13.4,1.8,8.144,,,,13.6,1.0,5.391
2021-01-23T08:22:00,14.8,0.5,5.929,12.8,0.9,10.528,,,,15.0,3.0,4.58
2021-01-24T07:00:30,13.8,1.2,10.895,13.6,0.8,13.076,,,,15.4,1.0,5.555
2021-01-24T10:23:00,13.6,1.1,10.874,13.4,1.0,15.041,,,,15.0,3.3,7.037
2021-01-25T09:57:30,14.0,0.6,8.31,13.4,1.0,8.118,,,,14.4,1.9,8.41
2021-01-26T07:27:00,14.4,1.1,9.577,13.2,1.2,11.281,,,,13.4,1.4,5.228
2021-01-27T07:47:30,15.4,1.3,5.607,13.4,1.5,9.974,,,,14.0,1.9,7.979
2021-01-28T08:44:00,13.8,1.8,7.369,13.8,1.8,7.369,,,,15.4,1.6,3.705
2021-01-28T11:15:00,13.6,1.8,11.794,13.6,1.8,11.794,,,,11.4,1.2,4.09
2021-01-29T06:34:00,15.0,1.5,7.103,13.6,1.1,9.417,,,,12.2,0.7,7.83
2021-01-29T09:00:00,15.0,1.6,5.111,13.2,1.1,11.902,,,,12.4,0.6,5.676
2021-01-30T12:28:00,13.4,0.9,8.637,13.2,1.7,13.426,,,,13.2,1.5,7.584
2021-01-31T10:48:30,14.4,0.9,10.439,13.6,1.8,9.458,,,,14.6,2.0,8.984
