timestamp,full_sleep_breathing_rate,full_sleep_standard_deviation,full_sleep_signal_to_noise,deep_sleep_breathing_rate,deep_sleep_standard_deviation,deep_sleep_signal_to_noise,light_sleep_breathing_rate,light_sleep_standard_deviation,light_sleep_signal_to_noise,rem_sleep_breathing_rate,rem_sleep_standard_deviation,rem_sleep_signal_to_noise
2021-09-01T10:22:00,14.2,0.8,7.692,13.6,1.2,11.452,,,,14.2,1.7,7.291
2021-09-02T08:17:30,14.2,0.9,10.161,12.8,1.5,14.706,,,,13.0,0.9,5.126
2021-09-02T13:38:30,13.6,0.8,8.491,13.8,1.2,10.551,,,,14.8,3.1,6.78
2021-09-03T07:34:30,14.0,0.9,7.822,14.2,1.0,9.041,,,,-1.0,0.0,0.0
2021-09-04T08:21:00,13.8,0.7,8.058,13.2,1.3,11.434,,,,13.8,2.5,8.235
2021-09-05T11:11:00,12.6,0.9,7.292,13.8,1.4,8.731,,,,14.0,1.9,5.314
2021-09-06T10:46:00,12.4,0.5,4.765,14.2,1.4,13.861,,,,14.6,2.4,8.087
2021-09-07T07:06:30,14.4,0.8,5.476,13.8,1.2,11.16,,,,14.0,2.2,4.353
2021-09-09T07:17:30,13.0,1.0,7.921,13.8,1.8,10.149,,,,13.8,1.7,4.842
2021-09-10T07:23:00,14.8,0.5,4.719,14.0,1.1,6.801,,,,17.4,0.6,3.108
2021-09-11T05:01:00,14.2,1.1,8.955,14.0,1.0,12.662,,,,13.8,1.3,9.759
2021-09-12T09:51:30,14.0,0.9,13.063,13.0,1.7,10.298,,,,13.6,1.4,8.77
2021-09-13T07:12:00,0.0,0.0,0.0,-1.0,0.0,0.0,,,,-1.0,0.0,0.0
2021-09-14T06:37:00,14.4,0.7,7.261,13.6,1.3,11.747,,,,-1.0,0.0,0.0
2021-09-15T07:02:00,13.4,0.8,5.828,13.2,1.2,12.474,,,,14.8,1.1,4.522
2021-09-16T06:34:30,13.6,0.7,9.017,13.2,1.1,13.564,,,,15.0,0.8,4.37
2021-09-17T07:22:30,14.4,1.0,6.401,13.6,1.3,9.336,,,,13.6,0.8,3.107
2021-09-21T08:03:30,13.8,1.0,9.094,14.4,1.4,13.271,,,,13.2,1.7,2.715
2021-09-23T08:17:30,13.4,1.3,9.973,13.4,1.3,9.973,,,,12.8,1.0,4.409
2021-09-23T09:36:00,13.0,2.1,10.586,13.0,2.1,10.586,,,,12.8,1.3,5.775
2021-09-24T07:20:00,14.6,0.9,6.064,14.0,1.7,6.181,,,,13.6,1.7,4.883
2021-09-25T10:15:30,12.8,1.1,6.858,13.6,1.4,16.226,,,,14.6,2.3,8.12
2021-09-26T08:57:30,14.4,0.6,10.728,13.2,1.5,9.879,,,,14.2,2.6,8.034
2021-09-27T06:43:00,13.4,0.9,6.232,13.8,1.2,11.193,,,,14.8,2.8,3.969
2021-09-28T06:59:30,13.6,1.0,4.908,13.4,1.4,14.418,,,,14.4,1.2,5.185
2021-09-29T05:56:30,14.6,1.1,4.842,13.4,1.2,9.709,,,,15.8,2.5,5.437
