timestamp,value
2021-01-18T10:11:46Z,87.7
2021-01-18T10:12:46Z,88.1
2021-01-18T10:13:46Z,88.4
2021-01-18T10:14:46Z,88.7
2021-01-18T10:15:46Z,88.7
2021-01-18T10:16:46Z,89.0
2021-01-18T10:17:46Z,89.3
2021-01-18T10:18:47Z,50.0
2021-01-18T10:19:47Z,89.2
2021-01-18T10:20:47Z,88.7
2021-01-18T10:21:47Z,88.1
2021-01-18T10:22:47Z,87.8
2021-01-18T10:23:47Z,50.0
2021-01-18T10:24:47Z,88.8
2021-01-18T10:25:47Z,91.3
2021-01-18T10:26:47Z,93.1
2021-01-18T10:27:47Z,94.1
2021-01-18T10:28:47Z,94.9
2021-01-18T10:29:47Z,95.5
2021-01-18T10:30:47Z,95.7
2021-01-18T10:31:47Z,96.0
2021-01-18T10:32:48Z,96.2
2021-01-18T10:33:48Z,96.4
2021-01-18T10:34:48Z,96.6
2021-01-18T10:35:48Z,96.7
2021-01-18T10:36:48Z,96.8
2021-01-18T10:37:48Z,96.8
2021-01-18T10:38:48Z,97.1
2021-01-18T10:39:48Z,50.0
2021-01-18T10:40:48Z,95.6
2021-01-18T10:41:48Z,93.0
2021-01-18T10:42:48Z,90.5
2021-01-18T10:43:48Z,50.0
2021-01-18T10:44:49Z,50.0
2021-01-18T10:45:49Z,91.7
2021-01-18T10:46:49Z,92.7
2021-01-18T10:47:49Z,93.4
2021-01-18T10:48:49Z,93.7
2021-01-18T10:49:49Z,94.0
2021-01-18T10:50:49Z,94.3
2021-01-18T10:51:49Z,94.5
2021-01-18T10:52:50Z,94.7
2021-01-18T10:53:50Z,94.8
2021-01-18T10:54:50Z,94.7
2021-01-18T10:55:50Z,94.7
2021-01-18T10:56:50Z,94.7
2021-01-18T10:57:51Z,94.6
2021-01-18T10:58:51Z,94.6
2021-01-18T10:59:51Z,94.7
2021-01-18T11:00:51Z,94.7
2021-01-18T11:01:51Z,94.7
2021-01-18T11:02:51Z,94.7
2021-01-18T11:03:52Z,94.8
2021-01-18T11:04:52Z,94.7
2021-01-18T11:05:52Z,94.6
2021-01-18T11:06:52Z,94.5
2021-01-18T11:07:52Z,94.4
